Country/area,Technology,Jobs (thousand),Source,Notes,Year
Albania,All technologies,12.703,,,2022
Albania,Biogas,,,,2022
Albania,CSP,,,,2022
Albania,Geothermal Energy,,,,2022
Albania,Heat Pumps,,,,2022
Albania,Hydropower,12.483,IRENA Estimate,,2022
Albania,Liquid Biofuels,,,,2022
Albania,Municipal and industrial waste,,,,2022
Albania,Others,,,,2022
Albania,Solar Heating / Cooling,0.13,IRENA estimate,Based on employment factors and capacity data,2022
Albania,Solar Photovoltaic,0.09,IRENA estimate,Based on capacity and manufacturing trends,2022
Albania,Solid Biomass,,,,2022
Albania,"Tide, Wave and Ocean Energy",,,,2022
Albania,Wind Energy,,,,2022
Algeria,All technologies,2.448,,,2022
Algeria,Biogas,,,,2022
Algeria,CSP,,,,2022
Algeria,Geothermal Energy,,,,2022
Algeria,Heat Pumps,,,,2022
Algeria,Hydropower,,,,2022
Algeria,Liquid Biofuels,,,,2022
Algeria,Municipal and industrial waste,,,,2022
Algeria,Others,1.848,Elmoudjahid (2016); SKTM (2016); Condor (2016),"These are people employed in CDER, SKTM and Condor ",2022
Algeria,Solar Heating / Cooling,,,,2022
Algeria,Solar Photovoltaic,0.6,IRENA estimate,IRENA estimate based on data from Renewable Energy Development Centre (CDER),2022
Algeria,Solid Biomass,,,,2022
Algeria,"Tide, Wave and Ocean Energy",,,,2022
Algeria,Wind Energy,,,,2022
All World,All technologies,13726.74294,,,2022
All World,Geothermal energy,151.933,,,2022
All World,CSP,79.675,,,2022
All World,Heat Pumps,241,,,2022
All World,Hydropower,2485.15,,,2022
All World,Biogas,308.795,,,2022
All World,Municipal and industrial waste,27.054,,,2022
All World,Others,148.749,,,2022
All World,Solar Heating / Cooling,711.7731328,,,2022
All World,Solid Biomass,779.256,,,2022
All World,"Tide, Wave and Ocean Energy",1.288,,,2022
All World,Wind Energy,1400.346,,,2022
Angola,All technologies,10.202,,,2022
Angola,Geothermal energy,,,,2022
Angola,CSP,,,,2022
Angola,Heat Pumps,,,,2022
Angola,Hydropower,10.202,IRENA Estimate,,2022
Angola,Biogas,,,,2022
Angola,Municipal and industrial waste,,,,2022
Angola,Others,,,,2022
Angola,Solar Heating / Cooling,,,,2022
Angola,Solid Biomass,,,,2022
Angola,"Tide, Wave and Ocean Energy",,,,2022
Angola,Wind Energy,,,,2022
Argentina,All technologies,34.274,,,2022
Argentina,CSP,,,,2022
Argentina,Heat Pumps,,,,2022
Argentina,Hydropower,28.264,IRENA Estimate,,2022
Argentina,Geothermal Energy,,,,2022
Argentina,Municipal and industrial waste,,,,2022
Argentina,Others,,,,2022
Argentina,Solar Heating / Cooling,1.13,IRENA estimate,,2022
Argentina,Solid Biomass,0.62,IRENA focal point,,2022
Argentina,"Tide, Wave and Ocean Energy",,,,2022
Argentina,Wind Energy,1.87,IRENA focal point,,2022
Australia,All technologies,76.834,,,2022
Australia,CSP,,,,2022
Australia,Heat Pumps,,,,2022
Australia,Hydropower,4.034,IRENA Estimate,,2022
Australia,Geothermal Energy,0.04,ABS (2020),,2022
Australia,Municipal and industrial waste,,,,2022
Australia,Others,1.12,ABS (2020),Government jobs,2022
Australia,Solar Heating / Cooling,3.96,IRENA estimate,Based on employment factors and capacity data,2022
Australia,Solid Biomass,1.58,ABS (2020),,2022
Australia,"Tide, Wave and Ocean Energy",,,,2022
Australia,Wind Energy,3.1,IRENA estimate,Based on employment factors and capacity data,2022
Austria,All technologies,37.889,,,2022
Austria,CSP,,,,2022
Austria,Heat Pumps,2.555,EHPA (2023),,2022
Austria,Hydropower,9.579,IRENA Estimate,,2022
Austria,Municipal and industrial waste,1.3,EurObserv'ER (2022),,2022
Austria,Others,,,,2022
Austria,Solar Heating / Cooling,1.9,EurObserv'ER (2022),,2022
Austria,Solid Biomass,9.8,EurObserv'ER (2022),,2022
Austria,"Tide, Wave and Ocean Energy",,,,2022
Austria,Wind Energy,2.7,IRENA estimate,Based on employment factors and capacity data,2022
Azerbaijan,All technologies,4.385,,,2022
Azerbaijan,CSP,,,,2022
Azerbaijan,Heat Pumps,,,,2022
Azerbaijan,Hydropower,4.385,IRENA Estimate,,2022
Azerbaijan,Municipal and industrial waste,,,,2022
Azerbaijan,Others,,,,2022
Azerbaijan,Solar Heating / Cooling,,,,2022
Azerbaijan,Solid Biomass,,,,2022
Azerbaijan,"Tide, Wave and Ocean Energy",,,,2022
Azerbaijan,Wind Energy,,,,2022
Bangladesh,All technologies,34.883,,,2022
Bangladesh,CSP,,,,2022
Bangladesh,Heat Pumps,,,,2022
Bangladesh,Hydropower,0.873,IRENA focal point,,2022
Bangladesh,Municipal and industrial waste,,,,2022
Bangladesh,Others,3,IRENA focal point,,2022
Bangladesh,Solar Heating / Cooling,,,,2022
Bangladesh,Solid Biomass,,,,2022
Bangladesh,"Tide, Wave and Ocean Energy",,,,2022
Bangladesh,Wind Energy,0.01,IRENA estimate,Based on employment factors and capacity data,2022
Barbados,All technologies,0.14,,,2022
Barbados,CSP,,,,2022
Barbados,Heat Pumps,,,,2022
Barbados,Hydropower,,,,2022
Barbados,Municipal and industrial waste,,,,2022
Barbados,Others,,,,2022
Barbados,Solar Heating / Cooling,0.14,IRENA estimate,Based on employment factors and capacity data,2022
Barbados,Solid Biomass,,,,2022
Barbados,"Tide, Wave and Ocean Energy",,,,2022
Barbados,Wind Energy,,,,2022
Belarus,All technologies,1.636,,,2022
Belarus,CSP,,,,2022
Belarus,Heat Pumps,,,,2022
Belarus,Hydropower,,,,2022
Belarus,Municipal and industrial waste,,,,2022
Belarus,Others,,,,2022
Belarus,Solar Heating / Cooling,,,,2022
Belarus,Solid Biomass,,,,2022
Belarus,"Tide, Wave and Ocean Energy",,,,2022
Belarus,Wind Energy,0.106,IRENA estimate,Based on employment factors and capacity data,2022
Belgium,All technologies,18.212,,,2022
Belgium,CSP,,,,2022
Belgium,Heat Pumps,1.757,EHPA (2023),,2022
Belgium,Hydropower,0.2,EurObserv'ER (2022),,2022
